ID	SENDER	RECEIVER	PERIODIC
RMWA	MM	KS	1
COIN	MM	OR	1
RMWA	MM	OR	1
COIN	MM	PR	1
RMWA	MM	PR	1
SDGI	MM	PR	1
RMWL	MM	SO	1
RKS	NN	KS	1
RKS	NN	OR	1
RKS	NN	PR	1
RKU1	NP	FA	1
RKU3	NP	FA	1
RKU1	NP	IM	1
RKU3	NP	IM	1
RKU1	NP	IP	1
RKU3	NP	IP	1
RKU1	NP	IV	1
RKU3	NP	IV	1
RKU1	NP	IW	1
RKU3	NP	IW	1
RKL	NP	KS	1
RKU1	NP	KS	1
RKU3	NP	KS	1
RKU1	NP	NP	1
RKU3	NP	NP	1
RKU1	NP	OR	1
RKU3	NP	OR	1
RKU1	NP	PR	1
RKU3	NP	PR	1
RKU1	OR	FA	1
RKU3	OR	FA	1
RKU1	OR	IM	1
RKU2	OR	IM	1
RKU3	OR	IM	1
RKU1	OR	IP	1
RKU2	OR	IP	1
RKU3	OR	IP	1
RKU1	OR	IV	1
RKU2	OR	IV	1
RKU3	OR	IV	1
RKU1	OR	IW	1
RKU2	OR	IW	1
RKU3	OR	IW	1
KOAO	OR	KS	1
RKL	OR	KS	1
RKU1	OR	KS	1
RKU2	OR	KS	1
RKU3	OR	KS	1
RMWF	OR	MM	1
RKU1	OR	NP	1
RKU3	OR	NP	1
RKU1	OR	OR	1
RKU2	OR	OR	1
RKU3	OR	OR	1
RKU1	OR	PR	1
RKU2	OR	PR	1
RKU3	OR	PR	1
RKU1	PR	FA	1
RKU3	PR	FA	1
RKU1	PR	IM	1
RKU2	PR	IM	1
RKU3	PR	IM	1
RKU1	PR	IP	1
RKU2	PR	IP	1
RKU3	PR	IP	1
RKU1	PR	IV	1
RKU2	PR	IV	1
RKU3	PR	IV	1
RKU1	PR	IW	1
RKU2	PR	IW	1
RKU3	PR	IW	1
RKU1	PR	KS	1
RKU2	PR	KS	1
RKU3	PR	KS	1
RKU1	PR	NP	1
RKU3	PR	NP	1
RKU1	PR	OR	1
RKU2	PR	OR	1
RKU3	PR	OR	1
RKU1	PR	PR	1
RKU2	PR	PR	1
RKU3	PR	PR	1
SDGI	SO	CR	1
COIN	VR	KS	1
RMWE	VR	KS	1
RMWE	VR	MM	1
COIN	VR	OR	1
RMWE	VR	OR	1
COIN	VR	PR	1
RMWE	VR	PR	1
RKP1	HR	KS	2
RKP8	OR	KS	2
RKP8	OR	OR	2
RKP8	OR	PR	2
RKP8	PR	KS	2
RKP8	PR	OR	2
RKP8	PR	PR	2
RMWE	VR	BP	2
RKP1	VR	KS	2
RKP1	VR	OR	2
RKP1	VR	PR	2
KOAO	FA	FA	2
RKIB	FA	FA	2
KOAO	FA	IB	2
KOAO	FA	IM	2
KOAO	FA	IP	2
KOAO	FA	IV	2
KOAO	FA	IW	2
KOAO	FA	KS	2
RKIB	FA	KS	2
KOAO	FA	MM	2
KOAO	FA	NP	2
KOAO	FA	OR	2
RKIB	FA	OR	2
KOAO	FA	PR	2
RKIB	FA	PR	2
COIN	HR	KS	2
KOAO	IB	FA	2
KOAO	IB	IB	2
KOAO	IB	IM	2
KOAO	IB	IP	2
KOAO	IB	IV	2
KOAO	IB	IW	2
KOAO	IB	KS	2
KOAO	IB	NP	2
KOAO	IB	OR	2
KOAO	IB	PR	2
KOAO	IM	FA	2
KOAO	IM	IB	2
KOAO	IM	IM	2
KOAO	IM	IP	2
KOAO	IM	IV	2
KOAO	IM	IW	2
KOAO	IM	KS	2
KOAO	IM	NP	2
KOAO	IM	OR	2
KOAO	IM	PR	2
KOAO	IP	FA	2
KOAO	IP	IB	2
KOAO	IP	IM	2
KOAO	IP	IP	2
KOAO	IP	IV	2
KOAO	IP	IW	2
KOAO	IP	KS	2
KOAO	IP	NP	2
KOAO	IP	OR	2
KOAO	IP	PR	2
KOAO	IV	FA	2
KOAO	IV	IB	2
KOAO	IV	IM	2
KOAO	IV	IP	2
KOAO	IV	IV	2
KOAO	IV	IW	2
KOAO	IV	KS	2
KOAO	IV	NP	2
KOAO	IV	OR	2
KOAO	IV	PR	2
KOAO	IW	FA	2
KOAO	IW	IB	2
KOAO	IW	IM	2
KOAO	IW	IP	2
KOAO	IW	IV	2
KOAO	IW	IW	2
KOAO	IW	KS	2
KOAO	IW	NP	2
KOAO	IW	OR	2
KOAO	IW	PR	2
KZPI	KS	FA	2
RKIB	KS	FA	2
KSI1	KS	KS	2
KSI2	KS	KS	2
KSP1	KS	KS	2
KSP2	KS	KS	2
RKIB	KS	KS	2
RKIL	KS	KS	2
RKIU	KS	KS	2
RKIV	KS	KS	2
RKPB	KS	KS	2
RKPL	KS	KS	2
RKPU	KS	KS	2
RKPV	KS	KS	2
KZPI	KS	NP	2
KZPP	KS	NP	2
KZPI	KS	OR	2
KZPP	KS	OR	2
RKIB	KS	OR	2
RKIL	KS	OR	2
RKIU	KS	OR	2
RKIV	KS	OR	2
RKPB	KS	OR	2
RKPL	KS	OR	2
RKPU	KS	OR	2
RKPV	KS	OR	2
KZPI	KS	PR	2
KZPP	KS	PR	2
RKIB	KS	PR	2
RKIL	KS	PR	2
RKIU	KS	PR	2
RKIV	KS	PR	2
RKPL	KS	PR	2
RKPU	KS	PR	2
KOAO	NP	FA	2
KZPI	NP	FA	2
KOAO	NP	IB	2
KOAO	NP	IM	2
KOAO	NP	IP	2
KOAO	NP	IV	2
KOAO	NP	IW	2
KOAO	NP	KS	2
KOAO	NP	NP	2
KZPI	NP	NP	2
KZPP	NP	NP	2
KOAO	NP	OR	2
KZPI	NP	OR	2
KZPP	NP	OR	2
KOAO	NP	PR	2
KZPI	NP	PR	2
KZPP	NP	PR	2
KOAO	OR	FA	2
RKIB	OR	FA	2
KOAO	OR	IB	2
KOAO	OR	IM	2
KOAO	OR	IP	2
KOAO	OR	IV	2
KOAO	OR	IW	2
KOAO	OR	KS	2
KOAP	OR	KS	2
RKIB	OR	KS	2
RKPB	OR	KS	2
KOAO	OR	NP	2
KOAO	OR	OR	2
KOAP	OR	OR	2
RKIB	OR	OR	2
RKPB	OR	OR	2
KOAO	OR	PR	2
